archetype,tariff,scenario,year,annual_bill_eur,baseline_bill_eur,c_star,c_star_avg,worst_month_eur_2023,worst_month_eur_2024,worst_month_eur_2025,loss_month_prob_2023,loss_month_prob_2024,loss_month_prob_2025,worst_month_eur_pooled,loss_month_prob_pooled
B,T4,passive,2025,2916.4580334848188,2824.3199999999997,-92.13803348481906,178.80729372431597,-7.150595376931477,6.070046913979581,39.730448532641276,0.0,0.16666666666666666,0.6666666666666666,39.730448532641276,0.2777777777777778
C,T1,automated,2023,2696.8199999999997,2696.8199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,T1,automated,2024,2288.82,2288.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,T1,automated,2025,2234.8199999999997,2234.8199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,T1,passive,2023,2696.8199999999997,2696.8199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,T1,passive,2024,2288.82,2288.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,T1,passive,2025,2234.8199999999997,2234.8199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,T2,automated,2023,2036.1894101634666,2696.8199999999997,660.6305898365331,348.85131692181886,-35.70165153817334,-4.601297626358473,13.568017462861945,0.0,0.0,0.16666666666666666,13.568017462861945,0.05555555555555555
C,T2,automated,2024,2009.6701925175803,2288.82,279.1498074824199,348.85131692181886,-35.70165153817334,-4.601297626358473,13.568017462861945,0.0,0.0,0.16666666666666666,13.568017462861945,0.05555555555555555
C,T2,automated,2025,2128.046446553496,2234.8199999999997,106.77355344650368,348.85131692181886,-35.70165153817334,-4.601297626358473,13.568017462861945,0.0,0.0,0.16666666666666666,13.568017462861945,0.05555555555555555
C,T2,passive,2023,2221.8398552662065,2696.8199999999997,474.98014473379317,160.49757340697866,-22.186811757351393,11.740196020901806,26.50892717176606,0.0,0.25,0.8333333333333334,26.50892717176606,0.3611111111111111
C,T2,passive,2024,2197.663605390868,2288.82,91.15639460913235,160.49757340697866,-22.186811757351393,11.740196020901806,26.50892717176606,0.0,0.25,0.8333333333333334,26.50892717176606,0.3611111111111111
C,T2,passive,2025,2319.463819121989,2234.8199999999997,-84.64381912198951,160.49757340697866,-22.186811757351393,11.740196020901806,26.50892717176606,0.0,0.25,0.8333333333333334,26.50892717176606,0.3611111111111111
C,T3_AWA,automated,2023,2218.5984101634667,2696.8199999999997,478.221589836533,166.44231692181893,-20.493924645219636,10.911706621285333,28.780055305468608,0.0,0.16666666666666666,0.8333333333333334,28.780055305468608,0.3333333333333333
