year,p_scenario,q_scenario,p,q,M_t,I_t,effective_ceiling,adoption_unconstrained,adoption_constrained,adoption_rate_of_M,adoption_rate_of_I,infra_wedge,infra_wedge_pct
2027,central,central,0.01,0.3,3100000.0,1808308.7212346396,1808308.7212346396,298990.3480608099,298990.3480608099,0.09644849937445481,0.16534253501618432,0.0,0.0
2028,central,central,0.01,0.3,4100000.0,2250713.7307305713,2250713.7307305713,523066.34431999834,523066.34431999834,0.12757715715121912,0.23240021028805535,0.0,0.0
2029,central,central,0.01,0.3,5260000.0,2736678.6875862107,2736678.6875862107,813996.5316403818,813996.5316403818,0.15475219232706877,0.29743956984527775,0.0,0.0
2030,central,central,0.01,0.3,6410000.0,3245270.381212191,3245270.381212191,1185781.0720323478,1185781.0720323478,0.18498924680691853,0.36538745088766017,0.0,0.0
2031,central,central,0.01,0.3,7340000.0,3751279.792721624,3751279.792721624,1651374.7936573683,1651374.7936573683,0.2249829419151728,0.4402163754517668,0.0,0.0
2032,central,central,0.01,0.3,8280000.0,4229999.999999951,4229999.999999951,2219896.2658247566,2219896.2658247566,0.2681034137469513,0.5247981715897831,0.0,0.0
2033,central,central,0.01,0.3,9220000.0,4661807.654819352,4661807.654819352,2893060.666580858,2893060.666580858,0.31378098336017984,0.6205877378038168,0.0,0.0
2034,central,central,0.01,0.3,10150000.0,5034861.1857559215,5034861.1857559215,3661684.8619071483,3661684.8619071483,0.3607571292519358,0.7272662992708491,0.0,0.0
2035,central,central,0.01,0.3,11090000.0,5345335.333549026,5345335.333549026,4503726.179666549,4503726.179666549,0.4061069593928358,0.842552599347646,0.0,0.0
2025,central,high,0.01,0.5,1730000.0,1100000.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,central,high,0.01,0.5,2300000.0,1422956.605643888,1422956.605643888,142805.33761264535,142805.33761264535,0.06208927722288928,0.10035818172264355,0.0,0.0
2027,central,high,0.01,0.5,3100000.0,1808308.7212346396,1808308.7212346396,372627.24040713086,372627.24040713086,0.1202023356152035,0.20606395137701716,0.0,0.0
2028,central,high,0.01,0.5,4100000.0,2250713.7307305713,2250713.7307305713,734656.17663975,734656.17663975,0.17918443332676828,0.3264103144744596,0.0,0.0
2029,central,high,0.01,0.5,5260000.0,2736678.6875862107,2736678.6875862107,1286151.3692770966,1286151.3692770966,0.24451546944431493,0.4699679853214702,0.0,0.0
2030,central,high,0.01,0.5,6410000.0,3245270.381212191,3245270.381212191,2084808.4541971388,2084808.4541971388,0.32524312857989685,0.6424144090633243,0.0,0.0
2031,central,high,0.01,0.5,7340000.0,3751279.792721624,3751279.792721624,3160526.14019555,3160526.14019555,0.4305893923972139,0.8425194373204907,0.0,0.0
2032,central,high,0.01,0.5,8280000.0,4229999.999999951,4229999.999999951,4476195.834565592,4229999.999999951,0.5108695652173854,1.0,246195.83456564136,5.500113124285017
2033,central,high,0.01,0.5,9220000.0,4661807.654819352,4661807.654819352,5908016.718624166,4661807.654819352,0.5056190514988451,1.0,1246209.0638048146,21.09352635845327
2034,central,high,0.01,0.5,10150000.0,5034861.1857559215,5034861.1857559215,7281170.2722911965,5034861.1857559215,0.49604543702028786,1.0,2246309.086535275,30.85093470597302
2035,central,high,0.01,0.5,11090000.0,5345335.333549026,5345335.333549026,8447326.606722284,5345335.333549026,0.4819959723669095,1.0,3101991.2731732577,36.721573790040615
2025,high,low,0.025,0.15,1730000.0,1100000.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,high,low,0.025,0.15,2300000.0,1422956.605643888,1422956.605643888,294930.8754484799,294930.8754484799,0.12823081541238257,0.20726624710739064,0.0,0.0
2027,high,low,0.025,0.15,3100000.0,1808308.7212346396,1808308.7212346396,626420.919267737,626420.919267737,0.20207126427991515,0.3464125964288013,0.0,0.0
2028,high,low,0.025,0.15,4100000.0,2250713.7307305713,2250713.7307305713,995673.8316255369,995673.8316255369,0.24284727600622852,0.4423813735309402,0.0,0.0
2029,high,low,0.025,0.15,5260000.0,2736678.6875862107,2736678.6875862107,1402902.976450375,1402902.976450375,0.2667115924810599,0.5126297737524149,0.0,0.0
2030,high,low,0.025,0.15,6410000.0,3245270.381212191,3245270.381212191,1847095.7678391137,1847095.7678391137,0.2881584661215466,0.5691654472097257,0.0,0.0
2031,high,low,0.025,0.15,7340000.0,3751279.792721624,3751279.792721624,2325825.506641226,2325825.506641226,0.31686996003286455,0.620008539793241,0.0,0.0
2032,high,low,0.025,0.15,8280000.0,4229999.999999951,4229999.999999951,2835147.914597207,2835147.914597207,0.3424091684296144,0.6702477339473382,0.0,0.0
2033,high,low,0.025,0.15,9220000.0,4661807.654819352,4661807.654819352,3369616.4913704526,3369616.4913704526,0.36546816609224,0.7228132820724513,0.0,0.0
2034,high,low,0.025,0.15,10150000.0,5034861.1857559215,5034861.1857559215,3922439.112923396,3922439.112923396,0.3864472032436843,0.7790560589873523,0.0,0.0
2035,high,low,0.025,0.15,11090000.0,5345335.333549026,5345335.333549026,4485778.475910251,4485778.475910251,0.4044885911551173,0.8391949608392344,0.0,0.0
2025,high,central,0.025,0.3,1730000.0,1100000.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,high,central,0.025,0.3,2300000.0,1422956.605643888,1422956.605643888,318207.5696461057,318207.5696461057,0.13835111723743726,0.2236242260543966,0.0,0.0
2027,high,central,0.025,0.3,3100000.0,1808308.7212346396,1808308.7212346396,729640.904261111,729640.904261111,0.23536803363261646,0.4034935493553014,0.0,0.0
2028,high,central,0.025,0.3,4100000.0,2250713.7307305713,2250713.7307305713,1249828.3656247358,1249828.3656247358,0.30483618673774043,0.5553031238757526,0.0,0.0
2029,high,central,0.025,0.3,5260000.0,2736678.6875862107,2736678.6875862107,1889204.1341632956,1889204.1341632956,0.35916428406146306,0.6903273456006632,0.0,0.0
2030,high,central,0.025,0.3,6410000.0,3245270.381212191,3245270.381212191,2648352.111741793,2648352.111741793,0.4131594558099521,0.8160651658098719,0.0,0.0
2031,high,central,0.025,0.3,7340000.0,3751279.792721624,3751279.792721624,3513544.7458255435,3513544.7458255435,0.4786845702759596,0.9366256157812214,0.0,0.0
2032,high,central,0.025,0.3,8280000.0,4229999.999999951,4229999.999999951,4454758.037036951,4229999.999999951,0.5108695652173854,1.0,224758.03703700006,5.045347809428864
2033,high,central,0.025,0.3,9220000.0,4661807.654819352,4661807.654819352,5428223.249004988,4661807.654819352,0.5056190514988451,1.0,766415.5941856364,14.11908757301246
2034,high,central,0.025,0.3,10150000.0,5034861.1857559215,5034861.1857559215,6383825.939484595,5034861.1857559215,0.49604543702028786,1.0,1348964.7537286738,21.13097641627716
2035,high,central,0.025,0.3,11090000.0,5345335.333549026,5345335.333549026,7275003.884169656,5345335.333549026,0.4819959723669095,1.0,1929668.5506206295,26.52463945510148
2025,high,high,0.025,0.5,1730000.0,1100000.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,high,high,0.025,0.5,2300000.0,1422956.605643888,1422956.605643888,353021.0532681441,353021.0532681441,0.15348741446441047,0.24808982358840242,0.0,0.0
2027,high,high,0.025,0.5,3100000.0,1808308.7212346396,1808308.7212346396,901289.0604074519,901289.0604074519,0.290738406583049,0.49841548062218516,0.0,0.0
2028,high,high,0.025,0.5,4100000.0,2250713.7307305713,2250713.7307305713,1710900.350791702,1710900.350791702,0.417292768485781,0.7601590230830252,0.0,0.0
2029,high,high,0.025,0.5,5260000.0,2736678.6875862107,2736678.6875862107,2821570.152316476,2736678.6875862107,0.5202811193129678,1.0,84891.46473026555,3.0086604318723262
2030,high,high,0.025,0.5,6410000.0,3245270.381212191,3245270.381212191,4200695.6497032875,3245270.381212191,0.5062824307663325,1.0,955425.2684910963,22.744453494472562
2031,high,high,0.025,0.5,7340000.0,3751279.792721624,3751279.792721624,5715954.1042308975,3751279.792721624,0.5110735412427281,1.0,1964674.3115092735,34.37176498766915
2032,high,high,0.025,0.5,8280000.0,4229999.999999951,4229999.999999951,7172501.904804735,4229999.999999951,0.5108695652173854,1.0,2942501.904804785,41.0247629607969
2033,high,high,0.025,0.5,9220000.0,4661807.654819352,4661807.654819352,8403417.268865017,4661807.654819352,0.5056190514988451,1.0,3741609.6140456656,44.52485809443823
2034,high,high,0.025,0.5,10150000.0,5034861.1857559215,5034861.1857559215,9335391.956989001,5034861.1857559215,0.49604543702028786,1.0,4300530.77123308,46.06695456438184
2035,high,high,0.025,0.5,11090000.0,5345335.333549026,5345335.333549026,9983982.394688465,5345335.333549026,0.4819959723669095,1.0,4638647.061139438,46.4608898309679
