datetime,load_D,load_A,load_ev,year,month,hour,dayofweek
2023-01-14 10:00:00,0.608911177323724,0.608911177323724,0.0,2023,1,10,5
2023-01-14 11:00:00,0.6697510428817701,0.6697510428817701,0.0,2023,1,11,5
2023-01-14 12:00:00,0.6676832827451566,0.6676832827451566,0.0,2023,1,12,5
2023-01-14 13:00:00,0.6399408342455944,0.6399408342455944,0.0,2023,1,13,5
2023-01-14 14:00:00,0.6233899165709075,0.6233899165709075,0.0,2023,1,14,5
2023-01-14 15:00:00,0.622934832609217,0.622934832609217,0.0,2023,1,15,5
2023-01-14 16:00:00,0.6614446560081952,0.6614446560081952,0.0,2023,1,16,5
2023-01-14 17:00:00,0.7503583418825682,0.7503583418825682,0.0,2023,1,17,5
2023-01-14 18:00:00,2.4920289788076704,0.7797002116843827,1.7123287671232876,2023,1,18,5
2023-01-14 19:00:00,2.447200999435707,0.7348722323124193,1.7123287671232876,2023,1,19,5
2023-01-14 20:00:00,2.3690016689700677,0.6566729018467798,1.7123287671232876,2023,1,20,5
2023-01-14 21:00:00,2.304874594989713,0.5925458278664253,1.7123287671232876,2023,1,21,5
2023-01-14 22:00:00,0.5446780643620047,0.5446780643620047,0.0,2023,1,22,5
2023-01-14 23:00:00,0.4542179766760617,0.4542179766760617,0.0,2023,1,23,5
2023-01-15 00:00:00,0.38299081981893857,0.38299081981893857,0.0,2023,1,0,6
2023-01-15 01:00:00,0.3300310092297716,0.3300310092297716,0.0,2023,1,1,6
2023-01-15 02:00:00,0.2983320171272937,0.2983320171272937,0.0,2023,1,2,6
2023-01-15 03:00:00,0.28192791024253167,0.28192791024253167,0.0,2023,1,3,6
2023-01-15 04:00:00,0.27469366375267296,0.27469366375267296,0.0,2023,1,4,6
2023-01-15 05:00:00,0.2768060460508724,0.2768060460508724,0.0,2023,1,5,6
2023-01-15 06:00:00,0.30765654986620744,0.30765654986620744,0.0,2023,1,6,6
2023-01-15 07:00:00,0.37645480848204127,0.37645480848204127,0.0,2023,1,7,6
2023-01-15 08:00:00,0.4779949927199661,0.4779949927199661,0.0,2023,1,8,6
2023-01-15 09:00:00,0.572000424199669,0.572000424199669,0.0,2023,1,9,6
2023-01-15 10:00:00,0.6532873697918868,0.6532873697918868,0.0,2023,1,10,6
2023-01-15 11:00:00,0.7448754934951985,0.7448754934951985,0.0,2023,1,11,6
2023-01-15 12:00:00,0.7300711405684871,0.7300711405684871,0.0,2023,1,12,6
2023-01-15 13:00:00,0.6757457941421996,0.6757457941421996,0.0,2023,1,13,6
2023-01-15 14:00:00,0.6389514531070355,0.6389514531070355,0.0,2023,1,14,6
2023-01-15 15:00:00,0.6281862579639105,0.6281862579639105,0.0,2023,1,15,6
2023-01-15 16:00:00,0.6606541925766115,0.6606541925766115,0.0,2023,1,16,6
2023-01-15 17:00:00,0.7618275823987402,0.7618275823987402,0.0,2023,1,17,6
2023-01-15 18:00:00,2.5093111637106813,0.7969823965873938,1.7123287671232876,2023,1,18,6
2023-01-15 19:00:00,2.465030681225413,0.7527019141021255,1.7123287671232876,2023,1,19,6
2023-01-15 20:00:00,2.3844419707861566,0.6721132036628691,1.7123287671232876,2023,1,20,6
2023-01-15 21:00:00,2.304193539503723,0.5918647723804356,1.7123287671232876,2023,1,21,6
2023-01-15 22:00:00,0.5222798944150631,0.5222798944150631,0.0,2023,1,22,6
2023-01-15 23:00:00,0.42068226044936297,0.42068226044936297,0.0,2023,1,23,6
2023-01-16 00:00:00,0.32795299986036414,0.32795299986036414,0.0,2023,1,0,0
2023-01-16 01:00:00,0.2819126451590702,0.2819126451590702,0.0,2023,1,1,0
2023-01-16 02:00:00,0.2669032331819564,0.2669032331819564,0.0,2023,1,2,0
